species,sites
DIAPTOMUS MINUTUS ,"Fresh Pond, Nobska Point, John Pond, Mashpee Pond, Chequaquet Lake (Great Pond (2)), Lovells Pond, Upper Cotuit Pond, Middle Cotuit Pond, Lower Cotuit Pond, Shallow Pond, Long Pond (4), Hinckleys Pond, French Watering Place, West End Pond, Crescent Lake, Seymour Pond, Oyster Pond, Browns Pond, Jenkins Pond, Mares Pond, Long Pond (3)"
DIAPTOMUS SANGUINEUS ,Cuttyhunk Island
DIAPTOMUS LEPTOPUS ,small pond of fresh water west of Edgartown on Marthas Vineyard
DIAPTOMUS SPATULOCRENATUS ,"small pond south of Ashumet Pond, Oyster Pond, Mares Pond, small pond near outlet of John Pond, John Pond, Flax Pond, Red Brook Bond"
DIAPTOMUS BIRGEI ,"Crockers Pond, Flax Pond, Ice Pond, small lily pond just south of Falmouth Arms Hotel, small lily pond north of Nobska LighthouseCrockers Pond, Flax Pond (1), Ice Pond, small lily pond just south of Falmouth Arms Hotel, small lily pond north of Nobska Lighthouse"
DIAPTOMUS OREGONENSIS,"Chequaquet Lake (Great Pond (2)), Bournes Pond, Crockers Pond, Ice Pond, Jenkins Pond, Jones Pond, Flax Pond (1), Browns Pond, Sidleys Pond, Salt Pond, Shallow Pond, Seymour Pond (Bangs Pond), Long Pond (3), Hinckleys Pond, Crescent Lake, Mashpee Pond"
EPISCHURA NEVADENSIS,"small lily pond south of Ashumet Pond, Crockers Pond, pond beside State road, Ice Pond (Quisset), Flax Pond (1), Upper Cotuit Pond, Middle Cotuit Pond, Lower Cotuit Pond, Long Pond (1), Great Pond (Barnstable); West End Pond, French Watering Place (Naushon Island); Flax Pond, Red Brook Pond (Bourne); Clear Pond (Chatham)"
EURYTEMORA HIRUNDOIDES,"Salt Pond, Oyster Pond, Quisset  Pond, Waquoit Bay, Edgertown Great Pond, West End Pond, French Watering Place, Upper Gosnold Pond, Lower Gosnold, John Pond, Oak Bluffs Pond, Farm Pond, Poucha Pond, Tarpaulin Cove Pond, Brackish Pond (1), Brackish Pond (2), "
EURYTEMORA AFFINIS,Poucha Pond
EURYTEMORA LACUSTRIS,"Quisset Pond, Oyster Pond, John Pond, Brackish Pond (1), Poucha Pond, Upper Gosnold Pond, Farm Pond, Oak Bluffs Pond"
ACARTIA TONSA,"Eel Pond, Great Pond (1), Green Pond, John Pond, the small pond at the head of the bay (Waquoit), Waquoit Bay, on Marthas Vineyard in small pond near Oak Bluffs, Farm Pond,  Sengekontacket Pond, Nashaquitsa Pond, and Edgartown Great  Pond, two of the  small ponds along the shore of Katama Bay,  Upper Gosnold Pond, Lower Gosnold Pond, West End Pond, Chequaquet Lake (Great Pond (2)), Poucha Pond"
CYCLOPS VIRIDIS,"Salt Pond, Sidleys Pond, Oyster Pond, Flax Pond (1), small lily pond south of Ashumet Pond, a small ice pond, a small pond near Chatham, a small pond on Uncatena Island, Hinckleys Pond, Jones Pond, Tarpaulin Cove Pond, West End Pond"
CYCLOPS BICUSPIDATUS,a pond in Woods Hole
MICROCTCLOPS VARICANS,"three of the brackish ponds on Chappaquiddick Island, Poucha Pond, Quisset Pond, Crockers Pond, Farm Pond"
MICROCYCLOPS BICOLOR,"Crockers Pond, Farm Pond, weedy pond near Chatham"
ORTHOCYCLOPS MODESTUS,Upper Gosnold Pond
MESOCYCLOPS OBSOLETUS,"Bournes Pond, two of the small ponds on the road from Woods Hole to Falmouth, Mill Pond, lily pond north of Nobska Light House, Fresh Pond, Ice Pond, Crockers Pond, Jones Pond, East Falmouth Pond, small lily pond  south of Ashumet Pond, Bournes Pond, Browns Pond, Jenkins Pond, Mares Pond, Flax Pond (2), Red Brook Pond, Santuit Pond, John Pond, Ashumet Pond, Shallow Pond, Crescent Lake (Long Pond (2)), Long Pond (4), Lovells Pond, Chequaquet Lake (Great Pond (2)), Upper Cotuit Pond, Middle Cotuit Pond, Lower Cotuit Pond,  Flax Pond (3), Scargo Pond, Hinckleys Pond, Long Pond (3), Bangs Pond, Tarpaulin Cove Pond, French Watering Place, Marys Lake, West End Pond, Edgartown Great Pond, small pond west of Edgartown"
MACROCYLOPS FUSCUS,"small pond near the outlet of John Pond, Jones Pond, the pond on Rams Head Island"
MACROCYCLOPS ALBIDUS,"Mill Pond, Salt Pond, Oyster Pond, Sidleys  Pond, Little Pond, small pond near the outlet of John Pond, two small ponds on the main road west of Chatham, pond on Rams Head Island"
MACROCYCLOPS BISTRIATUS,"small pond near the outlet of John Pond, Ice Pond, Crockers Pond"
EUCYCLOPS AGILIS,
EUCYCLOPS PRASINUS,"small pond near the outlet of John Pond, Chequaquet Lake (Great Pond (2)), small pond near Edgartown"
EUCYCLOPS PRASINUS,pond on Rams Head Island
PARACYCLOPS FIMBRIATUS,"Upper Gosnold Pond, small pond on Rams Head Island"
